Year,Avg Temperature (Â°C)
1990,27.160273972602738
1991,26.76897506925208
1992,26.335519125683057
1993,27.14739726027397
1994,27.221369863013695
1995,27.133972602739725
1996,27.6448087431694
1997,27.049863013698634
1998,28.573698630136985
1999,28.42664835164835
2000,28.06584699453552
2001,27.946027397260274
2002,28.22109589041096
2003,28.421917808219177
2004,28.253825136612022
2005,27.87178082191781
2006,27.71890410958904
2007,27.854246575342465
2008,27.389890710382517
2009,28.00958904109589
2010,29.096164383561646
2011,28.63041095890411
2012,28.74754098360656
2013,28.294246575342466
2014,28.507123287671234
2015,29.297808219178084
2016,28.660109289617488
2017,29.24109589041096
2018,29.20904109589041
2019,28.961369863013697
2020,28.931147540983606
2021,29.543561643835616
2022,29.315616438356166
2023,29.29534246575342
2024,29.345901639344262
2025,20.06
2026,28.55677689649308
2027,28.586344219136773
2028,28.61591154178046
2029,28.645478864424152
2030,28.67504618706784
2031,28.704613509711525
2032,28.734180832355218
2033,28.763748154998904
2034,28.793315477642597
2035,28.822882800286283
